parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
56234,56236,10,1804,Centaurium erythraea
56235,794441,25,,Gentianeae
794441,794443,24,,Swertiinae
794443,62411,20,,Obolaria
62411,126800,10,936,Obolaria virginica
794443,72142,20,,Gentianopsis
72142,154320,10,1739,Gentianopsis crinita
794443,56353,20,,Frasera
56353,56352,10,1823,Frasera speciosa
794441,794442,24,,Gentianinae
794442,56348,20,,Gentiana
56348,794338,13,,Pneumonanthe
794338,56349,10,1159,Gentiana newberryi
794338,120579,10,1482,Gentiana clausa
794338,120580,10,1483,Gentiana andrewsii
794338,56350,10,1830,Gentiana calycosa
47363,71557,30,,Loganiaceae
71557,83480,20,,Spigelia
83480,119146,10,1103,Spigelia marilandica
47124,70233,40,,Oxalidales
70233,47759,30,,Oxalidaceae
47759,47758,20,,Oxalis
47758,864989,15,,Oxalis
864989,865006,13,,Articulatae
865006,57805,10,93,Oxalis articulata
864989,1023136,13,,Oxalis
1023136,69624,10,246,Oxalis acetosella
1023136,165994,10,472,Oxalis montana
1023136,47757,10,2049,Oxalis oregana
864989,865017,13,,Corniculatae
865017,53183,10,980,Oxalis stricta
865017,53168,10,1958,Oxalis corniculata
864989,865007,13,,Ionoxalis
865007,81796,10,2065,Oxalis violacea
47758,53169,10,1959,Oxalis pes-caprae
70233,71487,30,,Cunoniaceae
71487,132480,20,,Weinmannia
132480,366631,10,1080,Weinmannia racemosa
70233,70234,30,,Elaeocarpaceae
70234,70235,20,,Aristotelia
70235,70230,10,1161,Aristotelia serrata
70234,122298,20,,Elaeocarpus
122298,366619,10,1533,Elaeocarpus hookerianus
47124,71272,40,,Aquifoliales
71272,53855,30,,Aquifoliaceae
53855,53854,20,,Ilex
53854,61119,10,95,Ilex verticillata
53854,60749,10,986,Ilex opaca
53854,119955,10,1296,Ilex vomitoria
53854,120006,10,1315,Ilex decidua
53854,53856,10,1770,Ilex aquifolium
47124,51120,40,,Nymphaeales
51120,51121,30,,Nymphaeaceae
51121,57849,20,,Nuphar
57849,57850,10,104,Nuphar lutea
57849,82504,10,131,Nuphar advena
57849,78234,10,1115,Nuphar polysepala
57849,204164,10,1908,Nuphar variegata
51121,51122,20,,Nymphaea
51122,51119,10,425,Nymphaea odorata
51122,62009,10,777,Nymphaea alba
51120,71408,30,,Cabombaceae
71408,72020,20,,Brasenia
72020,75867,10,469,Brasenia schreberi
47124,64516,40,,Proteales
64516,49663,30,,Platanaceae
49663,49664,20,,Platanus
49664,49662,10,107,Platanus occidentalis
49664,58231,10,203,Platanus racemosa
64516,71577,30,,Nelumbonaceae
71577,82815,20,,Nelumbo
82815,84160,10,493,Nelumbo lutea
64516,64517,30,,Proteaceae
64517,624158,27,,Grevilleoideae
624158,624171,25,,Roupaleae
624171,366635,20,,Knightia
366635,366632,10,1536,Knightia excelsa
47124,47195,40,,Cornales
47195,47194,30,,Cornaceae
47194,47193,20,,Cornus
47193,320160,10,156,Cornus racemosa
47193,53387,10,193,Cornus sericea
47193,58749,10,296,Cornus amomum
47193,155124,10,438,Cornus sanguinea
47193,76447,10,603,Cornus nuttallii
47193,54775,10,1396,Cornus alternifolia
47193,54776,10,1397,Cornus drummondii
47193,54777,10,1398,Cornus florida
47193,1096279,10,1470,Cornus unalaschkensis
47193,47192,10,1551,Cornus canadensis
47193,55858,10,1690,Cornus mas
47195,52469,30,,Hydrangeaceae
52469,52470,20,,Philadelphus
52470,62223,10,1162,Philadelphus lewisii
52469,83157,20,,Hydrangea
83157,130554,10,1947,Hydrangea arborescens
47195,53922,30,,Loasaceae
53922,53921,20,,Mentzelia
53921,62308,10,1222,Mentzelia laevicaulis
47195,532720,30,,Nyssaceae
532720,54804,20,,Nyssa
54804,54802,10,1413,Nyssa sylvatica
47124,71289,40,,Saxifragales
